subj,SibsYN,Siblings,SibGroup,SiblingNo,age.diff.y,age.diff.d,Group
1,Y,1,One,1,1;4.18,503,Younger
2,Y,1,One,1,1;10.6,675,Younger
3,Y,2,2+,1,13;3.9,4849,Older
3,Y,2,2+,2,2;1.7,768,Younger
4,Y,4,2+,1,12;9.26,4682,Older
4,Y,4,2+,2,10;0.7,3659,Older
4,Y,4,2+,3,9;0.21,3316,Older
4,Y,4,2+,4,6;7.21,2425,Older
6,N,0,None,,,,
7,N,0,None,,,,
8,N,0,None,,,,
9,N,0,None,,,,
10,Y,1,One,1,1;10.19,688,Younger
11,N,0,None,,,,
12,N,0,None,,,,
13,Y,2,2+,1,4;0,1461,Older
13,Y,2,2+,2,2;0,730,Younger
14,Y,1,One,1,5;1.15,1871,Older
15,Y,2,2+,1,4;5.2,1616,Older
15,Y,2,2+,2,1;9.15,654,Younger
16,N,0,None,,,,
17,Y,1,One,1,2;5.1,884,Younger
18,Y,1,One,1,2;0.26,756,Younger
19,N,0,None,,,,
20,N,0,None,,,,
21,N,0,None,,,,
22,N,0,None,,,,
23,Y,4,2+,1,10;0,3652,Older
23,Y,4,2+,2,8;0,2922,Older
23,Y,4,2+,3,5;0,1826,Older
23,Y,4,2+,4,3;0,1096,Older
25,N,0,None,,,,
26,Y,1,One,1,2;7.2,946,Younger
27,N,0,None,,,,
28,N,0,None,,,,
29,N,0,None,,,,
30,N,0,None,,,,
31,Y,1,One,1,4;0.16,1477,Older
32,Y,2,2+,1,16;11.14,6193,Older
32,Y,2,2+,2,14;5.4,5270,Older
33,N,0,None,,,,
34,N,0,None,,,,
35,N,0,None,,,,
36,Y,3,2+,1,5;11.7,2168,Older
36,Y,3,2+,2,4;5.3,1617,Older
36,Y,3,2+,3,2;6.17,931,Younger
37,Y,1,One,1,3;1.15,1142,Older
38,Y,1,One,1,3;6.3,1282,Older
39,Y,2,2+,1,6;1.4,2225,Older
39,Y,2,2+,2,4;1.28,1520,Older
40,Y,2,2+,1,4;5.8,1622,Older
40,Y,2,2+,2,1;11.7,706,Younger
41,Y,1,One,1,0;0,0,Younger
42,Y,1,One,1,0;0,0,Younger
43,N,0,None,,,,
44,Y,3,2+,1,6;5.9,2353,Older
44,Y,3,2+,2,4;11.7,1802,Older
44,Y,3,2+,3,2;1.6,767,Younger
45,Y,1,One,1,2;0.17,747,Younger
46,N,0,None,,,,
